id,title,bibtext,publisher,date,count,unit,externalsource
CPCCCAB,"Cabinet Papers: Complete Classes from the CAB & PREM Series in the Public Record Office. Series one PREM 3: Papers Concerning Defence and Operational Subjects, 1940-1945: Winston Churchill."," (Marlboro, Wiltshire, England: Adam Matthew Publications, 1998. 191 reels).","Marlboro, Wiltshire, England: Adam Matthew Publications",1998,191,reels,
CPCCCAB3,"Cabinet Papers: Complete Classes from the CAB & PREM Series in the Public Record Office. Series one PREM 3: Papers concerning Defense and Operational Subjects, 1940-1945: Winston Churchill."," (Marlboro, Wiltshire, England: Adam Matthew Publications, 1998. 191 reels).","Marlboro, Wiltshire, England: Adam Matthew Publications",1998,191,reels,
CPCAB4,"Cabinet Papers: Complete Classes from the CAB & PREM Series in the Public Record Office. Series three, CAB 128 & CAB 129 : Cabinet Conclusions & Cabinet Memoranda, 1945 and Following."," (Wiltshire, England Adam Matthew Publications, 1996-<2006>. 100 reels)","Wiltshire, England Adam Matthew Publications",1996-<2006>,100,reels,
ccr,California County and Regional Histories.," (Archibald Hanna. New Haven, CT: Research Publications Inc., 1968. 33 reels)","Archibald Hanna. New Haven, CT: Research Publications Inc.",1968,33,reels,
cgli,Catalogo General de Libros Impresos.," (Paris; Alexandria, VA: Chadwyck-Healey, 1989-.)",,-1989,4777,microfiches,https://www.worldcat.org/title/catalogo-general-de-libros-impresos/oclc/1011926225&referer=brief_results
CSLSC,Chicano Studies Library Serial Collection.," (Palo Alto, CA: Bay Microfilm, 1980. 430 reels)","Palo Alto, CA: Bay Microfilm",1980,430,reels,
cia,CIA research reports.," (Frederick, MD: University Publications of America, 1982)",,1982,0,,
CHAPE,"Church Authority and Power in Medieval and Early Modern England: The Episcopal Registers, 1215-1683.", (111 reels).,,,111,reels,
CHWAR,"Churchill at War: the Prime Minister's Office Papers, 1940-1945 : PRO Record Classes PREM 3 and PREM 4."," (Berkshire, England; Woodbridge, Conn.: Primary Source Media in co-operation with the Public Record Office,1998. 291 reels)","Berkshire, England; Woodbridge, Conn.: Primary Source Media in co-operation with the Public Record Office",1998,291,reels,
cdus,City Directories of the United States in Microform.," (New Haven: Research Publications, 1969. 6820 microfiches)",New Haven: Research Publications,1969,6820,microfiches,
crj,"Civil Rights During the Johnson Administration, 1963-1969.", (21 reels),,,21,reels,
crk,"Civil Rights During the Kennedy Administration, 1961-1963. Part 2, Papers of Burke Marshall, Asst. Attorney Gen. For Civil Rights.", (28 reels),,,28,reels,
crn,"Civil Rights During the Nixon Administration, 1969-1974. Part 1, White House Central Files.", (46 reels),,,46,reels,
CWRMMA,"Civil War and Reconstruction: the Making of Modern America. Series One, The Papers of Jay Cooke (1821-1905) from the Historical Society of Pennsylvania."," (Bethesda, MD : University Publications of America, c1997-2003. 103 reels).","Bethesda, MD : University Publications of America",c1997-2003,103,reels,
CDS1WTE,"Colonial Discourses, Series One: Women, Travel, and Empire, 1660-1914."," (Wiltshire, Eng. : Adam Matthew Publications, 1998. 76 reels).","Wiltshire, Eng. : Adam Matthew Publications",1998,76,reels,
CDS2IAE,"Colonial Discourses. Series Two, Imperial Adventurers and Explorers."," (Marlborough, Wiltshire : Adam Matthew, c2001-2004. 32 reels).","Marlborough, Wiltshire : Adam Matthew",c2001-2004,32,reels,
CDS3CF,"Colonial Discourses. Series Three, Colonial Fiction,1650-1914."," (Wiltshire, Eng. : Adam Matthew Publications, 2002. 84 reels).","Wiltshire, Eng. : Adam Matthew Publications",2002,84,reels,
CLATM,Colonial Latin American Manuscripts and Transcripts in the Obadiah Rich Collection.," (Woodbridge, Conn. ; Reading, England ; Research Publications, c1985. 33 reels).","Woodbridge, Conn. ; Reading, England ; Research Publications",c1985,33,reels,
COMA,"Comintern Archive, 1917-1943."," (Leiden: IDC, 1994. 11,859 fiches)",Leiden: IDC,1994,11859,fiches,
sclc,"Communist Infiltration of the SCLC, FBI Investigation File, 1957-1983.", (9 reels),,,9,reels,
com,Complete State Papers Domestic.," Series one, 1547-1625. (Brighton, Eng.: Harvester Press Microfilm Pub., c1979. 227 reels).","Series one, 1547-1625. (Brighton, Eng.: Harvester Press Microfilm Pub.",c1979,227,reels,
cond,Conditions and Politics in Occupied Western Europe: 1940-1945.," (Brighton, Sussex, England: Harvester Microform, 1984. 183 reels)","Brighton, Sussex, England: Harvester Microform",1984,183,reels,
cim,"Confederate Imprints, 1861-1865."," (New Haven, CT: Research Publications Inc., 1974. 143 reels)","New Haven, CT: Research Publications Inc.",1974,143,reels,
CBFOPCCH1,"Confidential British Foreign Office Political Correspondence. China, Series 1: 1906-1919."," (Bethesda, MD: University Publications of America, 1995. 427 reels).","Bethesda, MD: University Publications of America",1995,427,reels,
CBFOPCWWI,Confidential British Foreign Office Political Correspondence: World War I.," (Bethesda, MD: LexisNexis, 2003. 107 reels).","Bethesda, MD: LexisNexis",2003,107,reels,
cfjwh,"The Confidential File of the Johnson White House, 1963-1969."," (Bethesda, MD: University Publications of America, c1997-2003. 103 reels).","Bethesda, MD: University Publications of America",c1997-2003,103,reels,
cussd40,Confidential U.S. State Department Central Files. China 1940-1944: Internal Affairs.," (Frederick, Md.: University Publications of America, Inc., c1984. 51 reels).","Frederick, Md.: University Publications of America, Inc.",c1984,51,reels,
cussd45,Confidential U.S. State Department Central Files. China 1945-1949: Internal Affairs.," (Frederick, Md.: University Publications of America, c1984. 75 reels).","Frederick, Md.: University Publications of America",c1984,75,reels,
cussd60,"Confidential U.S. State Department Central Files. China,1960-January 1963: Internal affairs."," (Frederick, Md.: University Publications of America, c1998. 27 reels.).","Frederick, Md.: University Publications of America",c1998,27,reels,
CUSFRA,"Confidential U.S. State Department Central Files. Federal Republic of Germany, 1960-January 1963. Internal Affairs, Decimal Numbers 762A, 862A, 962A."," (Bethesda, MD: University Publications of America, c1992. 46 reels).","Bethesda, MD: University Publications of America",c1992,46,reels,
cfjwh,"Confidential U.S. State Department Central Files. Mexico,1960-January 1963: Foreign Affairs, Decimal Numbers 612 and 611.12."," (Bethesda, MD : University publications of America, c1996. 8 reels).","Bethesda, MD : University publications of America",c1996,8,reels,
cusp,Confidential U.S. Diplomatic Post Records.,,,,0,,
conf,Confidential U.S. State Department Central Files.,,,,0,,
COCOPSU,"Congresses of the Communist Party of the Soviet Union, 1955-1986: From the Holdings of Russian State Archive of Contemporary History, Moscow, Russia."," (Woodbridge, CT: Research Publications, 2001. 192 reels).","Woodbridge, CT: Research Publications",2001,192,reels,
core,"Congress of Racial Equality (CORE) Papers, 1959-1976.", (80 reels),,,80,reels,
culs,Connecticut Union List of Serials.," (Dublin: OCLC, 1989)",Dublin: OCLC,1989,0,,
cpgb,Conservative Party (Great Britain).," (Archives of the British Conservative Party: Conservative Party committee minutes, 1909-1964. Brighton, Sussex, England: Harvester Press, 1986. 6 reels)","Archives of the British Conservative Party: Conservative Party committee minutes, 1909-1964. Brighton, Sussex, England: Harvester Press",1986,6,reels,
CONLIB,The Conway Library.," (Haslemere, England: Emmett Publishing, 1987-1988. 6979 fiches).","Haslemere, England: Emmett Publishing",1987-1988,6979,fiches,
COOPMR,The Cooperative Movement in Russia.," (Leiden: International Documentation Company, 1991. 4423 fiche).",Leiden: International Documentation Company,1991,4423,fiche,
new,Courtesy Books: From Collections in the Newberry Library.," (Wooster, OH: Bell & Howell, 1984. 19 reels)","Wooster, OH: Bell & Howell",1984,19,reels,
CRIWAR,"The Crimean War, 1853-1856: From the Holdings of the Russian State Military History Archive."," (Woodbridge, CT: Primary Source Microfilm, 2005. 104 reels).","Woodbridge, CT: Primary Source Microfilm",2005,104,reels,
cub,"Cuban Connection: A Potpourri of Revolutionary Ephemera, 1957-1978."," (New Haven, CT: Yale University Library, 1982. 4 reels)","New Haven, CT: Yale University Library",1982,4,reels,
dss,The Dead Sea Scrolls on Microfiche: a Comprehensive Facsimile Edition of the Texts from the Judean Desert.," (Leiden; New York: E. J. Brill; Leiden: IDC, 1993. 134 microfiches)",Leiden; New York: E. J. Brill; Leiden: IDC,1993,134,microfiches,
DRCCCP,Departmental Records of the Central Committee of the Communist Party: From the Holdings of Russian State Archive of Contemporary History.," (Woodbridge, CT: Primary Source Microfilm, 2003. 448 reels).","Woodbridge, CT: Primary Source Microfilm",2003,448,reels,
dba,Deutsches Biographische Archiv.," (Munchen; New York: K.G. Saur, 1982. 1760 microfiches)",Munchen; New York: K.G. Saur,1982,1760,microfiches,
DISPL,"Dissent in Poland: Publications and Manuscripts, From the KARTA Center Foundation Archives in Warsaw, Poland."," (Woodbridge, CT: Primary Source Microfilm, c2005. 115 reels).","Woodbridge, CT: Primary Source Microfilm",c2005,115,reels,
dnsc,Documents of the National Security Council.,,,,0,,
DREY,The Dreyfus Affair in the Making of Modern France: Rare Books and Pamphlets from the Dreyfus Collection of the Harvard College Library.," (Woodbridge, CT : Research Publications, 1996. 66 reels).","Woodbridge, CT : Research Publications",1996,66,reels,
evans,Early American Imprints.,,,,0,,
EACMA,"The Early and Central Middle Ages, c.650-c.1200 AD: the Manuscript Record."," (Brighton, Sussex, England: Harvester Microform, 1986. 25 reels).","Brighton, Sussex, England: Harvester Microform",1986,25,reels,
eeb,Early English Books.," (Ann Arbor, MI: University Microfilms International)","Ann Arbor, MI: University Microfilms International",,0,,
EEN,Early English Newspapers.," (New Haven, CT: Research Publications Inc., 1978. 2407 reels)","New Haven, CT: Research Publications Inc.",1978,2407,reels,
EICFR,"East India Company Factory Records: Sources from the British Library, London."," (Marlborough, Wiltshire: Adam Matthew Publications, 2005. 68 reels).","Marlborough, Wiltshire: Adam Matthew Publications",2005,68,reels,
EMWOR,"East Meets West: Original Records of Western Traders, Travellers, Missionaries, and Diplomats to 1852."," (Marlborough, Wiltshire: Adam Matthew Publications, 1998. 124 reels).","Marlborough, Wiltshire: Adam Matthew Publications",1998,124,reels,
EAECCR,"Ecclesiastical Authority in England: Church Court Records,c. 1400-c. 1660, 1374-1700.", (70 reels).,,,70,reels,
eric,Educational Resources Information Center (ERIC).," (Washington, DC: ERIC Document Reproduction Service, 1966- . 151,000 microfiches)","Washington, DC: ERIC Document Reproduction Service",1966- ,151000,microfiches,
edu,Education of Pauper and Destitute Children in the Nineteenth Century: a Collection of Theses on Microfiche.," (East Ardsley, Wakefield, Yorkshire, England: EP Microform, 1980. 42 microfiches)","East Ardsley, Wakefield, Yorkshire, England: EP Microform",1980,42,microfiches,
eight,Eighteenth Century Religion and Philosophy.," (Woodbridge: Research Publications; Primary Source Microfilm, 2001-?. 345 Units).",Woodbridge: Research Publications; Primary Source Microfilm,2001-?,345,reels,
ECARCSCUL,Empire and Commonwealth: Archives of the Royal Commonwealth Society from Cambridge University Library.," (Marlborough, Eng.: Adam Matthew Publications, 2002. 25 reels).","Marlborough, Eng.: Adam Matthew Publications",2002,25,reels,
sov,England and Wales. Sovereign (1558-1603: Elizabeth I).," (Uncalendared state papers foreign of Elizabeth I for the period May 1592- March 1603. Brighton, Sussex, England: Harvester Press, 1982. 31 reels)","Uncalendared state papers foreign of Elizabeth I for the period May 1592- March 1603. Brighton, Sussex, England: Harvester Press",1982,31,reels,
esp,"Escritoras Españolas, 1500-1900."," (Madrid: Chadwyck-Healey España, 1991-.)",,-1991,0,,
EVS1,"Everyday Stalinism: Living Standards, Norms and Values of Various Groups of Soviet People in the 1920s and 1930s."," (Leiden, Netherlands: IDC, 2001. 1141 fiches).","Leiden, Netherlands: IDC",2001,1141,fiches,
EVS2,"Everyday Stalinism II: Peasants Under Stalinism: Mentality and Way of Life, 1923-1929, 1938-1939, From the Russian State Archives of Economy (RGAE)."," (Leiden, the Netherlands: IDC, 2004. 119 microfilm reels).","Leiden, the Netherlands: IDC",2004,119,reels,
fab,Faber Birren Collection of Books on Color.," (Woodbridge, CT: Research Publications Inc., 1983. 48 reels)","Woodbridge, CT: Research Publications Inc.",1983,48,reels,
FABI,"Fabian Economic and Social Thought: Series One: the Papers of Edward Carpenter, 1844-1929."," (Marlborough, Wiltshire, England: Adam Matthew Publications, 1994. 98 reels).","Marlborough, Wiltshire, England: Adam Matthew Publications",1994,98,reels,
fof,Facts on Film.," (Nashville, TN: Southern Education Reporting Service, 1965-. 310 reels)","Nashville, TN: Southern Education Reporting Service",1965-,310,reels,
fbiaim,The FBI Files on the American Indian Movement and Wounded Knee.," (Frederick, MD: University Publications of America, c1986. 26 reels).","Frederick, MD: University Publications of America",c1986,26,reels,
FBIFJ,FBI Files on Jonestown.," (Wilmington, Del.: Scholarly Research, Inc., 2003. 37 reels).","Wilmington, Del.: Scholarly Research, Inc.",2003,37,reels,
fsaa,"Federal Surveillance of Afro-Americans: The First World War, the Red Scare, and the Garvey Movement, 1917-1925.", (25 reels),,,25,reels,
fwp,Federal Writers' Project. Slave Narratives: A Folk History of Slavery in the United States from Interviews with Former Slaves., (11 reels),,,11,reels,
FICPUSA,Files of the Communist Party of the USA in the Comintern Archives.," (Moscow, Russia: New York: Distributed by IDC Publishers, 2000. 326 reels).","Moscow, Russia: New York: Distributed by IDC Publishers",2000,326,reels,
FWWDR,"The First World War, a Documentary Record. Series One, European War, 1914-1919, the War Reserve Collection (WRA-WRE) from Cambridge University Library."," (Calcot, Reading, Berkshire, England: Adam Matthew Publications, 1991. 139 reels).","Calcot, Reading, Berkshire, England: Adam Matthew Publications",1991,139,reels,
flug,Flugschriften des Fruhen 16. Jahrhunderts.," (Zug, Switzerland: Inter Documentation Co., 1978- . 1505 microfiches)","Zug, Switzerland: Inter Documentation Co.",1978- ,1505,microfiches,
fofch,"Foreign Office Files for China, 1949-1976: Public Record Office Class FO 371."," (Marlborough, Wiltshire, England : Adam Matthew Publications, 1999-. 83 reels)","Marlborough, Wiltshire, England : Adam Matthew Publications",1999-,83,reels,
FOFCUB,Foreign Office Files for Cuba: (Public Record Office Class FO 371).," (Marlborough, Wiltshire, England : Adam Matthew Publications, 2001. 37 reels).","Marlborough, Wiltshire, England : Adam Matthew Publications",2001,37,reels,
fofch,"Foreign Office Files for China, 1949-1976: Public Record Office Class FO 371."," (Marlborough, Wiltshire, England : Adam Matthew Publications, 1999-. 83 reels)","Marlborough, Wiltshire, England : Adam Matthew Publications",1999-,83,reels,
FOFJFE2,"Foreign Office Files for Japan and the Far East. Series Two, British Foreign Office Files for Post-War Japan (Public Record Office class FO 371).",". (Marlborough, Wiltshire, England : Adam Matthew Publications, 1998. 93 reels).",". (Marlborough, Wiltshire, England : Adam Matthew Publications",1998,93,reels,
FOFJFE3,"Foreign Office Files for Japan and the Far East. Series Three, Embassy and Consular Archives--Japan (Post 1945) (Public Record Office class FO 262): Detailed Correspondence for 1945-1957."," . (Marlborough, Wiltshire, England : Adam Matthew Publications, 1996. 7 reels).",". (Marlborough, Wiltshire, England : Adam Matthew Publications",1996,7,reels,
fofpwe1,"Foreign Office Files for Post-War Europe. Series One, The Schuman Plan and the European Coal and Steel Community."," (Marlborough, Eng.: Adam Matthew, 1997. 61 reels)","Marlborough, Eng.: Adam Matthew",1997,61,reels,
fofpwe2,"Foreign Office Files for Post-War Europe. Series Two, The Treaty of Rome and European Integration, 1957-1960",". (Marlborough: Adam Matthew Publications, 2003. 73 reels).",. (Marlborough: Adam Matthew Publications,2003,73,reels,
fofus,"Foreign Office Files, United States of America. Series Three, The Cold War (Public Record Office Class FO 371 and related files).",". (Marlborough,England: Adam Matthew Publications, 1998. 205 reels).",". (Marlborough,England: Adam Matthew Publications",1998,205,reels,
FOFUS3,"Foreign Office Files: United States of America. Series Two,Vietnam, 1959-1975",". (Marlborough, Wiltshire, England: Adam Matthew Publications, 1998. 30 reels).",". (Marlborough, Wiltshire, England: Adam Matthew Publications",1998,30,reels,
fofus,The Foundations of Modern Europe. Series One: The Archives of the European Movement.," (Woodbridge, CT: Primary Source Media, 1998. 2313 microfiches).","Woodbridge, CT: Primary Source Media",1998,2313,microfiches,
FREERUS,Freemasonry in Russia.," (Leiden, Netherlands: IDC, 1999. 158 fiche).","Leiden, Netherlands: IDC",1999,158,fiche,
